concept_id,concept_from_alex_street
3352072648,various courts
1873164571,sulphur dioxid
732035017,law says
894930688,catherine parr
2717445747,tea table
3438510515,one lawyer
279241260,farmer-labor movement
803888413,lecture platform
1434309096,iberian fire
3956994144,eleven hours
4180749742,taking away
3408264596,foundation stone
3636542066,public ownership
3423767361,two bills
3650220591,elementary grades
3191815634,native women
132199144,parties amount
2468675198,interstate agreement
3404152529,dorcas club
1297315969,deciding factor
1140116705,coming together
3939686930,cranford murder
1062575904,heywood broun
2745336483,stand mute
3778376342,superior race
4157387363,irish woman
3989360912,deeper feeling
407322450,one parent
4197983515,stenographic report
2942832642,biennial  report
2279875629,feminist party
2922469858,shakespeare society
1827759493,public charge
2850493424,harry e
2365411017,potent factor
2398045643,living maintained
1101831803,frederick p
2031046928,chairman devson
2874103717,wright v
2946032225,brilliant record
780551899,goal visioned
1325772148,gray matter
1939800910,daily papers
1181503197,sixth birthday
49551490,last ditch
3289826163,definite plans
983410016,want also
1785758833,state church
1280366550,comparatively little
4041729921,justice hughes
1616712601,president buffalo
2209492204,straight university
4170701451,relief committee
1444332972,auto mechanics
1636582936,hindu women
3036321388,negro soldier
3454593154,long way
4278560828,distinguished people
2402130512,feudal family
3214836841,smith st
1461047863,food bought
2832109751,winter advances
2036472146,national legislation
859155190,rochester times-union
452873986,unlimited hours
431053839,supplementary legislation
2848719933,present statute
3601736617,communist workers
533200240,daily paper
736176475,eight weeks
92587760,produce results
1040279600,pompous authority
819141266,hamilton wallis
58602134,work secretary
3989216910,pearl oysters
3944747834,avenue montaigne
2602881526,competitive examination
2596424840,bank balances
23965114,become naturalized
788731503,one seemed
530936213,always done
3374785291,adelaide stedman
282243731,ever tried
2387881072,fifteen nations
3025750276,women wait
444682303,said dell
2660380788,new hospital
393936744,property owners
471523801,james f
1125598611,anne e
4128080541,whut fu
65462655,violet johnson
505359509,martha p
2022915794,routine business
1896930683,best protection
2594281017,sawing wood
4113361021,first work
43344617,base hospitals
2971151954,put away
3811377889,wages based
