concept_id,concept_from_alex_street
2018696987,minimum wage commission
466753610,republican national committee
1074252264,entire community property
526928974,ambassador sumner welles
933565764,porto rican women
4000577909,married women teachers
2732386252,elementary parliamentary laws
2000288555,new york members
675109105,appointed fraternal delegate
2953494935,kathryn van leuven
634230833,treasurer jefferson city
3262181174,annual fall meeting
4061934787,child labor committee
503332291,william wells brown
1956319170,new jersey branch
1850074435,state club home
2529754960,paul lawrence dunbar
4219533080,vera fowler lewis
3438082266,civil service women
785364343,lucy thurman jackson
3835875431,daniel read anthony
3782609539,per michigan branch
2821580098,personal service committee
402509701,accident compensation law
1494210701,equal rights legislation
1034433761,united states senate
1496502898,let us ask
4051521240,lucy stone league
2621302095,th congressional district
2805487453,providence sunday journal
3076106401,white house conference
2806999535,chain store organization
3864768233,dreams come true
9502351,lola maverick lloyd
3475764936,united states census
3857808865,lena madesin phillips
3306340592,david hunt miller
2691066059,contain inequalities based
2197542449,international labor office
3821487500,industrial injuries show
1690276658,pearl lowery winters
916943251,child hereafter born
2186275736,local community program
3890413151,full time work
2850448546,ku klux klan
4025262464,maximum hours law
821565635,house judiciary committee
2966775231,montana state committee
2275050435,sir herbert austin
977925807,national consumers league
3020227097,handle labor complaints
1430414095,international labour organization
1410916519,ten hour law
3611733955,olive stott gabriel
1049240681,existing -hour law
4109552931,labor standards conference
1040631531,central regional association
2092355406,attorney lawrence sledge
1966027023,per cent decrease
4247475687,new york law
2001825975,women laundry workers
3834956433,ten years ago
797944446,minimum wage boards
1928274849,west th st
176793288,legal minimum wage
2273956871,alianza nacional feminista
3370576015,lady heath said
3060562108,new castle county
3031367034,elizabeth blackwell chair
3098419459,second baptist church
1990422838,high per cent
4154043537,united states adherence
2040755433,woman assistant secretary
3468261797,strong central government
1098284812,national training school
1374688496,great many people
101924100,negro death rate
3749282647,mary van kleeck
3764079986,thirteen years ago
1697081614,intelligent negro woman
1808577152,new south wales
3739408366,judge genevieve r
2884042920,child labor amendment
3931409149,kansas city branch
3718375827,annual meeting  jacksonville
462918860,senator la follette
3687614263,real estate owners
3864305816,rhode island league
718645912,seventh international conference
2177648902,compulsory jury service
4028533699,victoria earle matthews
3807176237,new york state
2843349397,young negro women
2714543077,myrtle foster cook
2054100628,sojourner truth club
162860420,convict lease system
800966600,elizabeth lindsay davis
3183052658,international agreement recognizing
731531090,chicago musical college
2755764133,jury service bill
