concept_id,concept_from_alex_street
77176384,herbert l
764441141,called upon
3502810215,delaware avenue
897185084,state bodies
1734806467,state legislation
3641548421,human food
3215082058,indian chief
790575012,make application
3787239500,theodore w
3630126830,specific occupations
3076947448,margaret luers
2865967420,business interests
2600836232,served years
3670031196,economic conditions
2950415604,consent calendar
3556470736,one night
1043864262,income increases
1012618272,arthur n
841718074,executive order
2943931049,art department
1737944750,sustaining member
3999094240,chicago tribune
4229295808,life work
1528388627,montana federation
1896843323,would suggest
135231807,field workers
1263482436,act shall
2548669995,sheppard-towner act
28242638,burns weston
175101690,moral law
4087887917,david terry
3213503011,ensuing year
455957945,van allen
2687497760,initiative petition
3000508242,community system
732541512,becording secretary
2780240783,lucy laney
2309528375,second wife
843160770,higher learning
8990679,definitely organized
281702658,political campaign
26817830,south dakota
2813177121,would pay
2438879946,per week
3717727904,twenty minutes
1478512376,absolutely essential
928069140,practically impossible
3725996192,daily capital
3395059297,ranking member
2579027584,james place
2123473381,october st
2865894786,eben griggs
109442159,great body
42415875,federal service
2239241934,personal friends
3030407657,inter-american commission
1720536078,year -
1216568963,large percentage
2826241439,boyle bill
1205503512,day shift
4280383621,family property
1849386970,curly-headed boy
1241286723,california branch
1503401931,forty-eight hours
2866910204,lady heath
2609578432,big fellow
2512980476,important thing
3757274757,dora windeguth
2809340298,progress exposition
3039159789,congdon st
168055864,great applause
3274830862,central ave
2371518614,daisy e
813825114,soroptomist club
2162528997,children must
693199087,havelock ellis
3794198699,maude royden
373377616,work nights
3624982343,industrial equality
3731666247,curtain rose
1610597565,welfare workers
712054239,adjusted compensation
1848034718,also averred
1831411459,labor shall
2128007066,permanent codes
1088513450,chairman harriman
140421533,things like
3410623635,old man
915337829,women wage-earners
1583028808,scientific research
3618912753,middlebury college
2067465460,illinois branch
535930951,howard university
2407766587,immigration committee
2719642394,tommy dear
2030863238,french general
1169680599,day nursery
404112997,race women
592236570,interamerican commission
2194123011,ancient egypt
