concept_id,concept_from_alex_street
3741906954,commits
397221344,knell
65866488,mister
3304120848,births
1241359501,persuasion
2059945792,impressions
1686296306,distressing
759831771,bootlegger
4161407594,modesty
1538406189,inactivity
1874057118,jewish
2257913597,metcalf
4207486517,proofreaders
1701221685,woodbury
2302633809,promulgated
643045002,relaxation
2310670246,increases
943772600,confidences
3966941273,drap
1000284797,curtailed
3668346728,grilli
1455538019,crossthwait
3803943368,violinist
4194213572,wimmen
3799888092,postponed
1869355104,rawlings
2123340412,glare
1762769873,puzzled
3548385314,conversion
3732863363,celebrating
2889301863,kahlert
1749082456,tortured
2855152110,savary
2622060605,watchword
3355146417,orchard
397021874,stifled
4269601074,chisel
14186858,staged
3479162466,rack
222372282,dickinson
3773276980,havenot
473609909,genuine
645527042,theodore
3575691066,abele
3516936968,emigrants
1790261910,shifted
3991352907,precaution
322679411,enrolment
453657198,unveiling
3887378638,enrollment
3830845345,wastage
1062279844,diners
2286158209,thanksgiving
3199809508,quan
3485824281,comprehend
2454268074,germans
278834984,bereaved
607320472,mollison
3094786120,undoubtedly
3274608789,mephisto
4096107307,seymour
1311039708,confirmed
1914714701,fatherly
4218756371,mobbed
1109528483,eepublican
742519756,crapsey
1341068836,swayed
2286974366,entail
712076250,exclusive
3060091840,novice
2943116439,twenty-one
1654897772,copying
2016591972,incite
3810324569,interpreter
2104928717,diphtheria
3679916281,springwells
1247781346,handin
2842604053,sympathetic
2252283057,mode
385647627,inspiring
2230559067,archives
762001811,roof
1481248834,macgregor
2141878742,curios
2381365315,uncontroversial
2905033568,glimpse
4286433530,amounted
4058824949,standardize
1391214786,termed
4007703560,reserve
2658770840,re-educate
1005854314,swing
1674365104,distinguish
1328739280,governing
1060728372,enhanced
1680241880,inoperative
2293356770,bi-weekly
3214064578,encyclopaedia
2064951417,disturbance
3794988880,lowers
