concept_id,concept_from_alex_street
2146627503,white men
1840790286,state meeting
2319750037,scholarship loan
1948982834,one suggests
1990283582,robert g
3279250401,glee club
3189339877,annual conference
3322531072,state presidents
1808630915,genetic psychology
3476023838,civil rights
3257871025,fannie wall
509478214,fifty dollars
2299670804,men cents
2158664189,made death
3319752778,one month
2356344754,$ wage
1456348838,commissioner dell
3789931341,country gives
1575373100,jesus makes
3075788372,subject given
3914668745,new methods
3412714013,metal industries
4231209002,lower courts
1152835750,farm cottage
2539951695,income expended
212658923,cordial welcome
4193648276,independent store
3276984462,african descent
3919682297,national advertising
1569601524,american history
2373534345,jury box
667778923,science say
4195844712,howe institute
4262816301,best known
1719230443,one must
917788782,great need
1820063277,one jobber
4235033725,club spirit
2049436295,war department
3112648531,factory inspector
3392996564,women salesmen
1422044650,assistant commissioner
2937241323,three weeks
3356153156,william k
4195251018,principal speaker
1996384688,anatole france
1005281348,laundry occupation
2090832616,st vice-president
254617986,betty archdale
3196647589,felix frankfurter
3325678882,infancy legislation
4251589048,roosevelt children
2209517691,health authorities
1069689701,large size
838099854,associate member
1821326669,sunday school
2358508483,income increased
271468689,funds came
505280322,war work
472571794,government charged
1529323541,bertha w
3207041191,rebekah greathouse
261200434,women jurors
3187433976,new enough
4040802332,new zealand
3947829007,circuit division
2595706411,answer might
3856570757,domestic relations
3017523080,still trying
2035159891,direct attack
426518706,little jenny
3012838092,democratic committee
2327073943,international life
2446655373,cotton-textile institute
127340762,several states
3825071025,bindery women
1370400349,like men
664661111,trade courts
1656325843,street level
1249651571,homestead law
3284197858,new administration
3023224458,kathleen hendrie
34641664,dean gillett
3757930020,hearty welcome
457709143,civic league
93365643,fair allowance
2605187057,biddy mason
1156755444,exclude women
1476719739,pan-american conference
3327935553,mollye h
2430184363,credentials committee
3414441232,william kent
174439786,sheriff davis
3599230546,eighty-one families
2440878645,public positions
344809753,affected without
1399113173,many states
2346246120,agnes adams
288426517,helen wills
1735074560,imogene howard
