concept_id,concept_from_alex_street
995493970,might like
1616002266,state vice-chairman
2776064666,every cent
2900811553,last tribute
3086245304,jointly indicted
1862376042,active leader
255411529,conference tickets
1384241147,old etiquette
1835084993,hazardous occupations
3284485254,hare done
987265639,florence balgarnie
1252643184,jessie ewing
502862784,logical consequences
3203347101,new civilization
2546140978,present denied
1368757119,historical adviser
3163218007,feminist papers
4137602938,left eye
1398130234,move along
3406277148,whose property
3694133066,children working
1611397328,ii chron
1581622703,harriet c
3170636068,hettie lewis
197370026,nicoli delabair
3255844943,laboring classes
3010434354,civil affairs
1031723996,national minimum
2996514036,first proposed
2404761151,another law
1272480789,hostess houses
2069837440,columbia teachers
3231435813,parker st
62343458,less obvious
1467003713,worker must
963766686,brief time
4199490352,old lady
98042649,cuban voters
160766193,monica thought
1443623781,baker devotes
1730571024,wage committee
3913624338,new pastor
179492571,broken like
2617996609,goes higher
564948453,hotel parque
1485266343,prominent lawyers
3097548367,south side
596500937,good plan
1580857991,margaret corbin
1552755029,gould said
71542004,holyoke college
2555211344,antoine bourdelle
28948777,business life
1632084687,whole family
1188779687,drug inspection
117054862,per capita
3108848368,elected superintendent
780214386,pennsylvania business
1266490030,fought one
1425225764,awful nice
3923682053,national assembly
1349201779,make good
1716344206,regulations apply
1882825298,following day
1588564448,people came
3251501748,unsung heroes
957576290,educational reform
2298417680,flora drummond
4172726044,dazzling fairness
1586411453,perfectly simple
3041516406,bed room
1591225294,favored position
1872380994,cable amendments
141715869,first names
1252191283,educational system
846874281,charming personality
829736035,expense involved
3082076769,wall street
3560260678,first brief
1647466183,bedford square
3905618509,honorary militia
1134334775,financial means
726328329,west central
2141755675,someone make
2806349212,woman writers
2322132310,beautiful girls
596900983,labor assembly
3759885540,territorial sea
2210397721,ask women
3500497986,senator royal
2201976920,various clubs
3035614288,house dresses
4280729973,crowning gift
240109149,year job
3141028537,considerable number
515482940,various capacities
2054940602,court decision
1741803749,special service
111274662,god bless
1551222078,beaten ways
