concept_id,concept_from_alex_street
590902245,boston company
2374669163,alien child
3022591010,new disease
3161016310,matter right
2445856324,rachel recoils
725562013,leisure class
744683177,broadcasting stations
1255916661,stabilize employment
149302836,phillis began
3807393016,beauty specialist
727918195,south bend
3645536219,city federations
2829440086,fusing kiss
690439559,pension fund
4251636617,nettie snellings
769563910,two institutes
755402899,race development
263685073,born alive
1328879355,club editor
4120052828,press department
207674952,every law
3085243293,suffrage league
1098308461,municipal authorities
4224612717,r illeg
2379801346,great influence
3501994461,article xiv
3568764270,aseline thomas
4282773985,national secretary
2822986198,go forward
647864454,hilles pointed
1363224719,van zandt
3611550344,probably never
2927421861,la francaise
2436032305,minister louw
3828420425,fourteen hours
4232736493,industrial revolution
3309999121,increased activity
3916760933,french legation
3791922120,whately pointed
3217109,old folk
151093791,fundamental difference
673225723,conference demands
3994628591,families containing
1648241923,gerard swope
2085748839,senator ball
472205132,five minutes
2757519039,two occupations
4124129435,major thing
2280644234,whether married
2178355598,white lead
1560630607,white tea
2358912375,peixotto vs
3128564861,domestic servants
3618645037,cleveland pierce
649483787,historic buildings
2573296093,catharine oglesby
692681185,party platforms
783793139,maud ingersoll
223183773,publish firms
1056996234,captive race
2651879333,market rate
755470317,professional point
3881097323,white dresses
2154791918,may come
4282135018,muthalakshmi ammal
2412482039,cuban government
3293012553,working modestly
2526798697,station wcao
2001853122,lower house
1143374172,special mention
1031645410,school year
1402213528,helped things
3413724081,club feminino
4200000388,sylvania f
1187045547,law office
3417908800,disorderly conduct
3604039217,group interests
1253427855,cash value
39193700,pioneer work
2939587919,nothing whatever
4228154530,new psychology
2932714045,woman commander
712133493,childhood days
2242055840,san bernardino
2079731133,getting justice
1045492879,health-giving laughter
2599478075,william godwin
872576976,legislative agent
1966590732,brain-working occupations
1667012101,industrial sanitation
3442930296,open forum
250732517,effective co-operation
4251935768,saw little
2055334054,new principal
395297770,appointed guardians
1451719170,first contribution
3901524020,union member
3146501901,spread employment
3866110824,strong resolutions
3946502768,charles whitnall
