concept_id,concept_from_alex_street
1823732377,interrupting
4289648902,gallagher
3107912366,difficult
2450946524,food
4228312121,malley
3486470727,ibid
2400163840,installed
1179602328,determined
373722334,superiority
3754587103,recognized
2355607605,monroe
3334263098,client
2819821578,harmon-on-hudson
3884549384,investigator
4280684003,wilder
2415572358,appropriated
3827226878,disbanding
3723868348,secretaire
796927525,associates
890474796,nathan
474722975,faded
384109392,creditors
3362876381,varied
3948770696,misunderstandings
3101251393,lower
2874534683,readers
91726656,novelist
4175585570,anthems
371472162,coal
2484642361,congratulate
965492777,amalgamated
3889134048,weatherford
2258033112,lamp
3548064505,prevent
2546412863,beyer
3204833279,glass
2845117077,imposed
686598576,clearly
1871675629,duke
3966313993,connor
174893718,presidente
2693302595,conviction
1218256700,manuela
1781314764,proscription
3310720362,hell
3924398303,sections
3443374663,statue
4263680264,dealings
1577158710,baskets
2503118601,camps
2671878821,gained
73230634,ballots
1334489450,unalienable
3558151913,gray
2468696260,arrested
3688733317,pigeon
1951534093,beasley
493014609,yearly
826756087,thinking
2670491631,cousin
1845355255,civil
1606286014,daytime
413317675,mainly
3918528835,sons-in-law
415537138,berrien
218161414,haskins
2839512555,nurses
1239911211,chatham
409043382,striker
3606811658,soldadera
764630520,squares
723425552,sketch
1790048533,bosphorous
349220651,greybull
3397166365,despite
1417377289,circumstances
4075930777,vice-presidents
2268857623,exactly
921789366,days
2560874296,saved
282866334,degas
4226660403,charles
845480734,woman
1150378298,moxley
3690530350,corley
3073886951,carlisle
2428423071,destiny
2596401118,circulation
1976099274,barrington
1794853240,ross
33424900,rain
2056672279,changes
2045630751,defeat
2851701586,doorway
2129582889,effects
1691553674,beatty
18623562,simon
1595826774,spouses
162417739,kerker
1009265319,terms
