concept_id,concept_from_alex_street
1831915918,new york symphony orchestra
722347871,new york state began
1499332882,american university graduate school
1613624553,farmer states right league
462040986,one must know something
1927611174,madame nellie brown mitchell
79759760,national woman party members
2160608294,david cheever miss louisa
1278896946,state factory investigation commission
3855146550,governor nellie tayloe ross
2844160954,west mount vernon place
1297092959,social workers put together
1589778983,surviving husband without administration
874931173,burnita shelton matthews conducting
553374271,cabot  miss mary w
3933123509,new plan rests upon
2677540629,state organization shall determine
2482533477,national negro business league
988251191,john blair katharine ludington
3679762693,joint community christmas tree
1643102208,state president shall appoint
2919893685,first equal rights convention
1996400643,state equal rights legislation
707079505,new york city dr
1180537769,howard county school board
2090214251,new england regional conference
1590474063,yale university  professor w
715905061,always accompany human contacts
2207093675,one southern white woman
3543370006,materials  used frequently injure
1374174689,administrative officers shall make
2834752719,legally constituted male voters
3911932987,nationality laws affecting women
3386610931,president samuel harden church
875943070,five new england states
1485953667,g fitzgerald  john j
2234222473,drink sufficient water daily
361059639,maria paz mendoza guazon
3639534765,percy jackson general secretary
3280736947,seventh pan american congress
92567952,balch  miss esther g
1044333444,woman patriot publishing company
3905419110,legitimate child born outside
4031807406,attended night school instead
747325390,labor secretary met us
3047848516,get something done promptly
737450517,deficit year ending october
2094417143,three equal rights measures
1485381628,everit macy  amy g
3769072338,christian temperance union held
1462961988,young womens christian association
3842389281,new york city consumers
1299787071,american red cross society
4047435034,harriet van der vaart
1701184652,class room teachers supervised
3925862982,representative ruth bryan owen
1955188432,american women could work
2539006795,ponce de leon avenue
1198220268,representative ruth baker pratt
1645190046,disbursements year ending oct
1951578633,goucher college student council
708067901,necessary shall recommend action
2396957931,teresa de la parra
456758677,general equal rights bill
1372211330,married women government workers
682798901,vice chairman executive board
2792916472,type one would like
1046181241,conference grant equal civil
2934601101,first vice-chairman  grace b
636055080,used without proper study
4281011532,one grand united band
390761183,one hundred years old
4143208382,unavoidable food shortage caused
383308537,please make checks payable
2841935996,united states fuel administration
1833977063,married women whose husbands
501976698,time fall far short
2312512515,ten years ago today
4052880668,kelley read resolution #
1173578939,allen christian endeavor league
241696254,sydney dreyfus  miss helena
1296703487,might otherwise go unobserved
1420424163,annual meeting last year
4137625009,children thus exempted need
3684379645,whereas seventeen states recognise
3516837981,organize public opinion behind
4291568999,meal intervals miss hunt
4064877127,may take pardonable pride
1327670627,state industrial inspection department
4200505954,automatically became eligible jurors
9603180,margarita robles de mendoza
7185234,average per capita income
2085850637,first picket line stood
