concept_id,concept_from_alex_street
305685150,baltimore women
3069592030,hope st
526501776,yates branch
3154990434,leading woman
2387437067,life long
2367128082,woman sheriff
2960295887,intellectual history
3459624475,second marriage
1659511723,chairman denson
421445305,enormously increased
3675859217,biennial held
129526286,little pale
1833459840,twenty-one republics
2874258999,african blood
3909448322,standard bill
1526501187,sara l
2738109840,greek women
2294040546,county charter
3188954421,household workers
2598266821,held february
3909999796,broadus mitchell
3853974495,careers open
1601700010,gertrude banks
1019922323,great souls
2809088130,new notion
1149772166,came across
2422127318,one part
1694316301,belmont writes
4208025824,next wave
1584895753,fairminded men
2241145722,needy families
3098672578,word  concurrent
3707519545,double source
2820423302,elsie pierce
3907426318,night school
817626587,lived alone
3300123954,burdened heart
4274259261,normal college
4248363510,honorable member
3194313926,came away
2657133168,dead body
3304873728,barnard college
559689693,early completion
2041078087,congress congratulates
1685478460,equality bill
1354157932,real equality
2561080489,main resolution
703256303,life giver
1038858763,clerical work
1391574931,grassy hill
1054586743,nettie napier
2707624154,abundant proof
4076279405,kind anywhere
1681543948,cuba may
145644288,city milk
2957037638,sixth conference
3551025312,one home
3870027621,happier world
3189033957,great theatre
1247330899,sex differentiation
3123486102,maria verone
1232171953,seven months
3025681781,party takes
2619033599,legal restrictions
499827496,poetic justice
4034395774,good points
3441778532,deceivers ever
3336823774,family consisted
583901205,representing percent
1772272953,men jurists
161882467,shell fish
721484221,appeared recently
1739760745,ossoli circle
736881453,commerce building
2246348046,present conditions
1739463547,special positions
461814779,grandfather langston
2936834530,investigation lived
388752984,convict labor
4050717384,colonel lehman
950295033,tenth congress
3634607070,steely look
4139619821,see report
4091590135,daily record
1485790133,appeal made
763353424,woman married
2771694468,full report
41719186,large rewards
1582031991,two rooms
3246141943,export department
228516237,practiced law
4139519487,working boys
3485470939,ancient custom
2738543376,ever sat
4156732347,common good
2077965137,dear madam
4063022950,senator edge
3172729786,draft legislation
3229805438,reba carey
312210381,needs must
