concept_id,concept_from_alex_street
568255652,stay organized
1960939943,finance chairman
3782517546,learning anything
3605743590,one sweep
3416588299,work upon
623218007,made principal
2165758313,duffield street
1548740129,sheriff nellis
367103464,workers weeks
651240233,crawford road
2457882969,colored society
193997810,shall include
2166950229,balance may
507073957,standards committee
2372961230,highest order
4136468064,returned home
3427845486,prohibition party
2551342475,nineteen families
1977501356,democratic governor
1630039470,giving bond
621710840,supervisory staff
907365865,howard pharmacy
986381670,hotel astor
2842515447,twelfth congress
1526668298,recommendation would
3574734472,bugle call
1309834200,reed v
1966882702,recent number
130294608,indian christians
2188333446,justice cannot
50041703,high sheriff
413102485,headquarters director
131753849,certain kinds
615638201,give money
1615926561,city board
2131178936,westminster pi
848000347,ernest angell
2500257419,florence b
3971950413,oriental club
2992892185,la garde
1544996916,turned away
224419252,particular governments
4186433527,education department
1849092442,prevailing conditions
174032073,helen mcgerr
416308952,frantiska plaminkova
56429268,male supremacy
2757926906,get publicity
995252774,present resolution
1154755194,stars shine
2863637510,keppel  susan
3181288819,compare favorably
2595193569,lois buenzli
2330315130,richard k
4292291966,servile subordination
1803792031,one corner
188653830,welfare league
3141662855,made conscious
2181268826,merchandise shall
1331338686,anna h
2603903554,every way
961149922,last couple
3023058681,greater need
1983051900,silver paper
1059726828,sales person
1457824205,fundamental liberties
671251643,race newspaper
3202009838,austrian member
2888418616,saturday night
580688426,restrictions upon
2827159292,entire sympathy
3306270261,formerly treasurer
3754256228,national councils
4202330526,written declaration
220803297,adele cuinet
2781813558,courts reflect
3261835050,established situation
1286007852,laing williams
310497525,harold f
567447735,political council
1838261002,independent incomes
3055818755,coal mines
1853815920,must keep
1543540224,go home
3811814608,painful menstruation
2006037899,vertical line
3305975249,henry truman
3243406742,kharga oasis
461488887,health talk
2118820961,political career
3230848947,gravely bill
1029105483,preliminary meeting
1953550704,henry w
2112431444,little value
2011890630,burnita matthews
2465676336,speedy passage
1354277195,exceptional women
2027700534,city schools
1704992735,magazine publishers
4250918994,dramatic reader
