concept_id,concept_from_alex_street
325482131,galesburg
1690400007,filing
459917304,comparison
1346418612,minds
2663177735,based
816324834,substances
1744719322,already
717942207,institutes
3817454180,late
1743232524,coming
676275767,assert
2218612196,tossed
1541506194,luisi
1335933274,casting
3260101495,contract
1433318159,fayetteville
1299015208,cease
1304306593,alcohol
4164041955,uruguay
3614584361,volley
3865008923,federation
1251756401,deceased
1118032408,czechoslovakia
1327455143,salesmen
2473941766,inter
3858556857,canon
1710191636,reply
34192475,policewomen
3514130127,profit
4038610525,front
2185833474,magee
2978433003,wait
14030234,prisoner
1717829149,married
304712762,urge
956365706,kuomintang
3493044543,debate
4025433566,hiding
3149793108,succession
3749163676,masterpiece
1308639804,growth
3105687305,garment
2459438174,conkling
3931285598,short
3753960753,legallienne
105266743,expulsion
3719012240,atwood
1899090140,gainesville
2937198587,newport
272309133,submitted
3729386318,special
317789808,unless
4256926402,postponement
1722533288,nugent
176651154,requiring
1640524015,carriers
1187332315,case
2446127687,kellam
3215120931,rosebuds
2572390850,dell
1370380276,watched
2517837370,instances
163403204,ispahan
4179079268,especially
3150209916,close
2366857202,reprints
688356482,gentle
2647106332,bookbinders
3446349729,trachy
4063596440,schlink
4138134938,representing
2245020601,baptized
1443468833,architect
3271198141,wished
2442346867,toledo
3676984593,vashon
2643737447,enable
1039612967,conspicuous
2658902812,rocque
4132784141,warmth
1180484527,perhaps
3192403183,connected
4257340483,statistician
3782041225,measures
3464808654,wainwright
1556158035,froebel
3485341843,companionship
140357068,deficit
2656710230,accursed
3887264925,applicable
2181365889,count
1268867054,endorse
2379076277,appointing
754488520,wrongs
1319852333,individuals
1631759654,retained
2206716824,guided
700677794,testimony
183776053,hotel
3169435711,snelling
