concept_id,concept_from_alex_street
2249142714,opportunities since emancipation
2406987863,highest salary received
1849097031,big stride forward
103600279,unofficial plenary session
3183715364,arizona state committee
1532404120,moral temptations b
3896893563,national farmer-labor convention
4221102815,order suddenly assume
3433554178,three southern fields
4287480844,rosa welt straus
2583513548,july th convention
1546143652,negro migrant families
2471445927,heard thee tell
816985674,branch retaining half
2988034299,first state president
4085864223,little official groups
17946924,honest cloth bills
4068639143,national afro-american league
2543027608,lowest paid workers
2571315218,$ per week
2340406071,dependent upon man
2679309585,copley plaza hotel
1505688485,neues wiener journal
1780835170,ends would come
1860495154,february marjorie gillis
3083012057,united free church
1449843284,real bernard shaw
531318667,good city manager
2387802859,chairman national council
3703110797,filene  miss margaret
1161909754,iowa federation home
3301913642,address—miss mary r
744872286,constitutional amendment granting
2654715592,negro teachers similar
2635336381,women already dismissed
735628426,high government policy
3686291863,national rifle association
985967599,imaginary sex weaknesses
2894576570,seventy-five per cent
2544499865,woman wage earner
3500124970,first general secretary
3149913753,illinois school director
2140582604,nearly two hundred
2778981964,sojourner truth home
1112042097,wife dies without
205613351,public school teacher
3859075337,surviving husband shall
479618245,high school graduates
1407651436,jes like sheep
3480927649,women cannot control
2704079249,department miss martel
2556718642,state minimum wage
2280215151,industrial commission report
4284488042,virginia state federation
3198549426,indian muslim women
1308519601,whereas legislation affecting
151082577,cut throat competition
3144523917,mary van casteel
2187729975,high moral standard
2358450655,home economics department
3341522693,sordidly place upon
837140370,deserve great credit
2313946809,governor john g
2718709885,willing workers club
2008140570,booher-hughes bill dealing
2172315024,begin next week
3463244362,mont de piété
3548437035,national council member
2035760474,new york list
4096962843,domestic personal service
3916718805,first woman ever
3764741301,minimum wage decision
1428589022,take immediate steps
1736537580,higher minimum wage
1311145419,community property states
537306266,la follette said
2213331425,deputy chief librarian
1465324204,city committee feels
3930548605,modern woman shows
3044374226,give due consideration
4126478674,minimum wage rulings
1765819195,chairman food committee
1936487021,miss josephine golomark
2171800198,la follette party
2911170533,educational congress held
2578650278,miss arsania williams
1174288116,santiago de chile
1715146705,could get employer
2506036760,american law schools
162460796,united mine workers
3013185485,william roscoe thayer
2795019070,industrial equality viewpoint
3376054100,una roberts lawrence
212256061,contribution included twice
508134966,van der vaart
817639504,washington last spring
3974153271,holy trinity church
1322173161,visitors  brief reports
3667834794,national loyal league
3911853206,individual may become
