concept_id,concept_from_alex_street
3122508719,near east
854198970,ten clubs
54727622,conference committee
279870714,court shall
306565429,vow york
2639080650,regular session
1348327785,four holes
405918025,oakland tribune
3896472300,rebecca aldridge
3612879417,park avenue
1571157070,draft convention
4007888088,various stages
2718132603,first name
605788038,fifth grade
2417154272,economy act
1312639597,berne convention
1742290630,east orange
852999795,women unconstitutional
197745222,business session
3716955951,one else
3866274237,garments worn
3969802288,mastick-shonk bill
3550486317,appropriate exercises
2115843422,statute books
4250233658,lord mayor
1078796258,condemnation proceedings
526680272,auxiliary committee
1165438326,passed away
3111349733,alma lutz
2560651381,human nature
3102436701,light plane
105296060,seasonal fluctuation
744313568,mathilde ammen
1487723339,robinson says
1699280287,christian agencies
2493379364,one purpose
925122240,connecticut league
1470991743,de silva
745028851,stephen pell
714336183,public service
3411555713,beauty culture
4052683142,central council
3235882382,labor unions
3178343606,worcester league
3498097176,pan chao
2900547792,social life
300785523,colored boys
1507456930,street pointed
3441693464,free marriage
120486056,hour week
1154743689,parent body
348869010,better understanding
1604769974,every woman
4124137489,village president
4249812272,sarah fayerweather
661513926,common scold
1453491611,territorial waters
892830980,progressive club
4204187058,negro patients
142804566,favorably reported
1247270017,serious illness
3502346538,recording secretaries
1336863782,followers believe
475256937,treaty action
1578553265,congress hotel
2133861132,giving us
2162022264,canal street
4154603598,went back
2248325674,third president
2750657046,certain types
1671483835,jacques tourret
1146180266,bunting case
311256183,one point
2636373856,civil service
3564684424,sixty-ninth congress
2892854646,league recognizes
841233049,dora black
3893627186,south carolina
2990572937,league shall
931854533,poro college
1161269794,interparliamentary union
2134551745,mary b
441008331,two sons
3468957259,bakery workers
4273185735,doctor korn
2803630039,unlike substance
1588263953,madam president
1339961213,bloomfield hills
2762574982,british section
2827065923,dark eyes
1172732969,must create
2949114659,margaret brent
7028878,service rendered
3702680105,belmont gave
2585763912,atlanta constitution
413670016,queen marie
1171919194,woman eligible
1017918,hannah smith
2160515659,australian women
1034523128,elizabeth w
