concept_id,concept_from_alex_street
1353913406,hold positions
1750300095,doctor lederle
1456190865,unselfish devotion
1502342757,women held
199680785,two members
535003519,like conditions
2209694674,indiana federation
4022137510,industrial board
1494030098,political alliance
827411997,jones st
449894520,secret orders
3055758843,gainfully occupied
2229379685,walnut hills
3788028099,training school
3717476612,original motion
1604195239,bowers opinion
3514510524,young boy
165033356,labor bill
997856445,albro lyons
1946257223,bourbon street
2044736151,two women
2658488387,brazilian women
788985479,rebecca hourwich
366767283,commercialized vice
1601411332,emma c
1656767171,high school
441111770,bound hands
1367280036,organizing conference
1631547773,public provision
2375940647,low wages
2169423859,wedding feast
3564877430,two children
2493874362,maryland women
2634862484,life interest
494623236,white passengers
1667941826,organized january
3071448560,national capitol
322974864,bertrand fontaine
3736815,fiscal year
1930944470,nathan c
2859393965,admissions committee
2016945750,maryland legislature
2365485559,pearl club
189334291,national section
552470715,wages paid
347460706,pupils taught
1928305126,lantern slides
625632185,national department
2770207673,two senators
1173753350,public affairs
1299117764,baltimore federation
1216010150,supremely important
3575929385,philadelphia branch
2049484899,two days
3326434555,republican women
53363104,national branch
3068996004,also chairman
2332237999,weekly wages
3130538324,pencil drawings
3146552281,dirty milk
1989608438,elizabeth carter
1212532726,et cetera
722343397,jessie collet
418213168,emma g
1241271418,colored preacher
187219241,active interest
794973682,state fund
550297644,permanent injuries
596750109,little book
3954475297,aunt sallie
2928759114,finer nature
2070705209,food conservation
2202484930,industrial conditions
1335424169,morgan stevens
674523834,school age
2677691392,seasonal variation
2539312058,central associations
3575951013,ear editor
143809757,mizeriah johnson
3658624998,lavinia egan
4287124426,one source
194829557,fourteenth birthday
2164499986,one morning
3114973507,february th
98199648,joy st
2338759934,local community
436189201,cecelia holloway
2552682213,bushels beans
3726801714,odd fellows
4245742690,christian recorder
3144093502,jefferson chest
2919934710,almira sweeten
2963358330,golden age
2710104435,party headquarters
463157989,death among
919474680,kentucky women
3787087132,franchise union
866786891,would come
2595338758,state supervisor
24864829,social costs
