concept_id,concept_from_alex_street
2379332906,one another
3842686492,surviving spouse
2434719145,department stores
3045927102,weekly rest
3448062860,competent witness
3779513923,little rosebuds
3918750310,lake champlain
781267376,boarding home
2327665010,race history
1015193941,third commission
2151322625,christian education
2239663103,important business
186071382,aunt dinah
3002966468,right honorable
2051963968,gail laughlin
3647808942,president neilson
530910627,suffrage bill
3791573886,woman plumber
176658262,th ave
1345535359,law would
2132827739,pilgrim mothers
4162048198,new capitol
3651957238,full-time week
3959833692,poor children
2987899805,basic wage
2059072756,american mother
148156141,first act
3519355639,ask questions
926340871,american republics
941134906,errand boy
1335827973,state action
3997420444,small baker
4004611321,official organ
3463142841,women may
1883933432,congregational church
1938071199,equal franchise
2873795013,entire program
569315904,one salary
3882885764,became interested
1325026638,state constitution
3531300687,international justice
1817154261,city council
1087321457,negro mortality
1314874688,compensation department
2211502390,achievements along
3790728511,northwestern university
2250976791,educational work
177856365,wage-earning women
811178325,separate return
718019812,legal domicile
1220307052,late watch
3894247499,every case
2648857461,people vs
2942949047,literary work
3301877813,definite work
1179331949,juvenile court
1191443626,average wage
4247781494,dodge hotel
1969914819,stettler vs
823048867,jimmy brown
2314273090,charaoui said
2961611375,good evenin
1181169271,et al
2919822985,come along
2017484478,children injured
1403106577,panel discussion
2070934318,hard work
2360820499,little state
3470971256,university women
786354543,harvey w
17155902,support ruling
1934095132,azalia hackley
1023485217,afro-american woman
3021983064,allowance would
2430152652,higher standard
2097910155,depressed classes
3469241797,dangerous substance
1800645817,industrial occupations
711338559,possibility could
2728594104,individual members
1462031428,new home
1143283712,young poet
3767087687,legal discriminations
2753257095,cocoa bean
3659588005,present president
2709104494,district attorney
2102630223,state work
175167350,harvey wiley
1064694225,american nurses
232001508,federal appropriation
3068584920,junior club
140721839,lige strickland
3625107978,always cooperated
1121725630,say anything
367925008,life blood
3931078553,national federation
787915534,old feminism
2563053351,special supervisors
1033034054,july th
92606481,national trade
