concept_id,concept_from_alex_street
4016686045,palm beach
555865362,man back
1959312969,palacio legislative
733775623,wage-earning woman
2274975870,john bigby
1361806247,fundamental operations
1934741556,could govern
1189651516,advanced stunts
2799103445,place women
1046332188,monen gray
706255009,women like
1891024527,see anything
374146060,new charter
3190467799,properly care
533699786,socialist party
4099288445,two boats
4175348099,one form
2696930471,infancy knew
847905309,moral value
4029490754,thirteenth assembly
771354406,cannot see
2742714088,large hall
1046026667,saturday morning
528287365,feel sure
841956563,collective farm
4135701254,thus delaware
1596738395,judge adams
764075675,three years&apos
2322560956,louise saumoneau
3912327352,children fourteen
234068549,highest degree
130979571,kent county
404232530,battle creek
1588403756,munsey bldg
206038730,representative kahn
3098955672,leading spirit
4187245766,laidler  winthrpp
3801082755,national executive
1450220068,great house
3317120605,great enthusiasm
2616236408,female parasitism
4256443051,massachusetts bureau
3395100532,life dream
2849351835,first grade
2034283761,president trujillo
221930957,take hold
3252824217,hour regulations
605808460,also brought
436436256,arise instances
387572701,national life
49528756,negro boys
4007966349,entire discussion
2321610907,new liberty
2631950585,felix vorenberg
690268391,secondary school
156020884,road work
1720152691,square deals
3308752046,tiny herring
1056055705,highest court
923164393,feminine war
987183219,elevator girls
1214985593,iowa branch
2529095332,number employed
1540921900,first two
3204106405,word factory
525206961,great noise
2442719326,received instruction
1486442861,crawford rd
1503323871,vinney building
1890974592,green shores
3947019322,private tuition
3040865147,adam clerk
2355734970,culver city
870122999,national thought
3906169420,george g
3652603224,frazelia campbell
1213355783,report points
855286291,great precept
2359771811,vivian simpson
4037833852,half hour
3298877468,removing distrust
1407516121,voice bidding
4189846088,helen hoyt
2592201433,bertha koon
2701797498,world problems
99409098,ordinary housewife
4108132749,public sees
454734624,research expert
4275555030,woodford county
2802657991,morals regulated
2360514806,registered addresses
10975014,hours long
84146041,winsome jennings
2817300999,great benefit
117059389,superior type
2479755460,never hope
468564443,field supervision
3684091613,feminist newspaper
3615065113,equal footing
2747331807,many trades
