concept_id,concept_from_alex_street
1663866802,people think
4200715649,robert l
3756860115,first right
13147582,appropriate agencies
1356676831,old idea
749110284,outstanding clubs
1040473308,twenty-fifth anniversary
3680161549,laboratory work
1741142977,rose garden
2585363242,joint label
286604262,all-ukrainian sik
700752739,ohio federation
3316063359,family responsibilities
2352887176,deputy sheriff
3207123143,good jobs
3856479838,cook receives
2697539240,govern us
1571642600,physical wreck
1893399722,night shifts
3204448383,human endeavor
3613524078,restricted field
331380732,see clearly
221265280,baltimore business
3258899972,unjust judge
2676344077,thereby opening
1104135535,essential order
1903940329,plenary meeting
3838763140,state official
3192727640,goes home
1703214038,miscellaneous p
4254143708,winsor said
3818483807,lady berry
3310628901,chosen president
19668115,florence p
258262853,amend section
2009395809,nations council
3588881757,way things
2988652798,stationary engine
3080975194,sanitary arrangements
1613690309,charles scribner
3103381976,would permit
1853928297,take effect
2908428133,factory sense
3115345701,yard employees
1343094509,sole ground
2797182228,recital artist
564132804,proposed plan
926683807,insure punishment
1048133984,larger appropriation
2042879634,plenipotentiaries signing
3660178854,life memberships
2958450690,regular work
2512032936,lyceum club
3660415047,capitalizing opposition
894680732,passport application
207103092,george henry
2589216494,farm produce
1877973731,congress holds
3588995735,welfare groups
3796779762,section shall
3000450544,second woman
230185957,new arrivals
1736873743,double room
2868438253,added tasks
1694825622,government officials
3192324728,sub-committee meeting
1725549441,candy work
1763364398,assistant mistresses
1499629669,sieu could
4202148567,proposed amendments
2525280295,bill schudt
2966922464,wast thou
984306911,either eight
1833006482,machines operated
2528451217,sylvia says
140677154,table x
2793917815,co-operative commonwealth
3718945413,one son
3611541141,robert e
3063966669,young suffragists
1644941568,illegitimate birth
3390434545,federal laws
2114985183,religious one
1252538904,broadly stated
1367871199,feministak egyesiilete
2224632275,one answered
1978122794,traditional handicap
577408459,still denied
3975012631,support us
586825591,prison reform
115984590,neither husband
3182161672,brother aaron
1831185168,anti-slavery movement
1174839777,important phase
842306390,make way
1894544436,effective way
964239644,previous year
1175023611,flour business
2499889188,evelyn harris
4210858021,garden street
