concept_id,concept_from_alex_street
1247983884,national thing working
3903977737,edward everett hale
3918126394,encourage every effort
1771360657,minimum wage statutes
4150888596,illiterate children appearing
500135814,nina broderick price
3879691255,philadelphia city branch
729034739,throw women back
1485869647,better educational facilities
3914550377,white women may
3851758098,income tax law
551205351,thomas sherwin  rt
992806209,three weeks ago
90545628,little slave girl
2283145503,work well done
2475348304,constitutional amendment providing
3769099930,katrine heath jones
1170082816,eastern conference committee
729802647,given equal opportunity
446788322,equal employment rights
1989231890,one week later
1653965038,west twenty-first street
3091470570,never grow old
931753443,new york county
413275617,past ten years
2604075820,eepresentative louis ludlow
753044279,first street n
2730428773,twelve years old
2139457672,industrial hygiene bureaus
1823275801,give equal treatment
13992196,every day lives
4088849599,minimum wages legislation
3740494979,law preventing us
2263181127,making ends meet
2192113688,check inspection force
768644405,sumner high school
387902045,swedish motor club
3829888669,minimum wage friends
1289097514,perth amboy board
4180787034,single colored member
544305094,great white race
1728704022,going right along
3250365462,east nd street
568791049,professor jesse lawson
485036241,addie w dickerson
1160174409,sunday afternoon reception
420555076,union theological seminary
2782064296,leading business woman
168717193,national journalistic register
3132559176,early legislative  action
3703739637,read world friendship
3122727323,yale law school
468925344,league public meeting
2939834818,three little children
1230136738,student volunteer convention
1551219727,presiding  president william
1684093705,courts may interpret
2565689374,nominated last spring
2376959309,per santa barbara
3801309722,united states senators
2502745182,dudley field malone
1714011138,negro tuberculous patients
