concept_id,concept_from_alex_street
1726660835,horse doctor
1515321168,campaigners arrived
1738621967,honor roll
2697178384,states indicate
869502317,leading cause
721836572,penn-harris hotel
57085221,mean nationally
401901777,prominent men
3428579200,frey v
2771059157,mayfield road
2931224199,rights adopted
1338724207,oil wells
1033544634,william p
1518716461,allen university
2568557372,pethick-lawrence said
1192965385,hester jenkins
1322191333,ten months
2667100171,general ignorance
2378228278,masculine pronoun
3512579645,wilberforce univ
849044543,still active
1063728127,modern spirit
3841517596,kentucky clubs
987362755,peerless club
2797822681,reason given
1646222126,granny sylvy
793502479,nationality without
4010943572,california read
165078890,woman captain
3957600844,age work
2151626305,postpone action
3799400238,professional councils
1895844934,senator swanson
377279195,house secretary
857990894,harrisburg convention
2534549259,united brotherhood
3076247555,southwestern part
2119636463,domicile bills
2291597112,little study
122717118,george h
504773047,chartered power
4064817681,conscience would
412367202,elizabeth carter-brooks
131125943,two parents
3126039489,local association
2310433669,district federation
684873020,class designated
2532661337,margaret b
3434669839,frugal habits
1860810811,american biography
2105253463,tell cy
1449009480,distinctive contribution
1290210757,royal assent
4229416850,brown said
1785178431,entrance requirements
1470119450,intellectual activity
3475350148,earnestly invited
3714341179,dwight school
3398376093,reality seems
1162463873,governmental program
675782644,women inmates
3914846867,husband dies
2768938474,august -
434985451,breath smells
4208656570,best demonstrations
4240599946,present policy
425924942,public statement
958451244,regular intervals
2360895882,visitors p
3610700381,brushed aside
2572301628,person engaged
1538864622,lesser extent
1415377680,first class
327672151,subjects hope
144541895,much better
417622194,women legislators
3594354394,european members
3661109084,community house
688443247,adequately represented
1310559830,avoid going
3708330255,trust officer
1760414872,fort ticonderoga
3274356453,recent election
163355732,mountain view
1279054723,sweeping drive
1087316811,francis dickinson
2063275674,country entering
3770302084,wilson v
2560552751,madison road
221801111,best examples
1116397261,joe looked
3682927065,final vows
2179099593,educated efforts
2947854711,cannot take
3327210483,governor woodring
2694143045,temporary disabilities
1474292718,white servants
2785361295,albert hall
2411093632,appointed administrators
756967909,winifred cullis
