concept_from_alex_street,count_unique_wiki_article_text_appeared_in,count_unique_wiki_article_title_appeared_in,count_unique_alexander_street_docs_appeared_in
played,1208356,12007,12
lime,1207210,28409,1
john,1199303,126514,6
made,1192046,5158,568
life,1191669,19947,378
loft,1188595,10641,2
text,1184898,11735,22
small,1184615,9662,21
han,1179380,25684,1
fo,1174964,61840,1
vest,1170129,27026,1
ven,1169896,57959,1
north,1169209,51702,43
left,1164421,5567,114
red,1162877,37133,5
wake,1160291,53996,7
convent,1158239,6525,2
rain,1156725,18151,6
birthplace,1156667,244,1
ive,1155245,31026,2
whole,1145393,4854,48
take,1143042,51350,331
thumb,1138884,896,1
excluding,1138326,246,2
wages,1135789,15630,92
place,1134853,31582,269
night,1134847,42000,149
family,1134584,16359,141
held,1131542,14793,421
would,1129913,91168,434
town,1126663,25526,48
wine,1125440,53453,3
bring,1123665,3080,165
pages,1121551,1092,6
home,1119910,20155,429
including,1116938,123,1
east,1106084,31639,16
sand,1104954,47184,1
james,1104154,98335,2
vain,1103789,14784,9
order,1102309,16695,323
early,1101939,16326,16
enter,1098712,31078,80
come,1097930,28769,390
hay,1097558,49856,1
lone,1097026,42611,1
greet,1096268,45846,6
vine,1091340,48092,1
rest,1087847,21699,95
tine,1081747,66310,1
number,1079622,19220,301
international,1079060,47933,5
team,1078981,93383,1
n w p,1078821,8013,1
park,1076456,81503,4
official,1073104,2644,2
land,1071549,48688,87
pour,1068346,13764,1
sark,1065053,80939,1
area,1063022,21737,2
century,1062713,7322,27
tale,1059522,20587,4
include,1059229,289,27
oer,1059073,15433,5
among,1054268,2286,111
give,1052194,12161,299
rake,1051942,57519,1
wall,1051168,47428,6
nine,1049458,44595,10
rack,1048658,32395,1
thorough,1047248,10302,1
county,1046110,147263,15
day,1043434,52953,309
pain,1043258,14281,16
produce,1038047,6491,11
sang,1036778,16059,12
pack,1036158,26151,1
hour,1035940,12208,67
ten,1033419,38602,18
press,1033380,6949,55
told,1029699,19542,190
school,1026373,123199,131
plate,1024331,12611,2
group,1021903,32892,220
fund,1020959,7063,10
test,1020530,26480,15
plane,1018561,12617,10
style,1016495,3993,2
became,1016167,905,38
district,1014039,111651,208
main,1013934,11327,4
since,1009509,1964,68
tall,1009430,45300,3
sigh,1007634,59735,4
high,1000881,61118,25
boots,996949,6740,1
jim,996245,14084,1
many,994527,4358,275
hill,987644,65896,6
depth,986744,10348,2
looks,985550,7059,4
ton,984134,40717,1
series,980896,52468,55
center,976255,41172,31
game,971666,82576,5
times,971459,6105,92
used,968930,2622,142
help,967739,6055,172
rust,966996,8917,1
love,966481,50652,100
four,965163,8687,31
following,958451,327,40
article,958298,3382,189
like,958010,66326,116
par,957092,21908,4
full,954693,15882,49
mayor,950872,17322,19
journal,950599,28859,11
begun,949590,1774,17
based,949015,4996,73
biased,947701,3817,2
sold,942889,15908,27
dry,942290,23901,1
wide,939127,11263,1
bank,937984,55655,11
general,936137,53183,40
cooks,936015,10046,1
hooks,930128,5856,1
jack,925747,23048,2
mine,925091,57649,18
hall,924789,41415,22
career,924314,8744,21
wet,923165,24481,2
ground,923095,13016,103
howse,920431,76186,1
depths,920166,3986,5
books,918118,7232,41
begin,917824,1781,43
without,915709,2761,45
house,912801,73893,329
wear,911874,12893,9
season,911262,124457,13
named,910990,20603,19
line,909791,62175,75
sake,908167,49600,18
firm,907656,128867,14
lind,905316,46631,1
top,904020,20312,12
