concept_from_alex_street,count_unique_wiki_article_text_appeared_in,count_unique_wiki_article_title_appeared_in,count_unique_alexander_street_docs_appeared_in
pledged,40049,1726,5
err,40039,3767,1
inaugurated,40029,4,2
oriental,39993,3013,1
autobiography,39978,392,3
disgraced,39965,231,1
resolved,39965,1109,80
poisons,39961,4295,1
adoption,39954,2232,102
classroom,39944,199,3
petitioned,39933,328,2
tenants,39927,661,2
exclaim,39920,498,1
loans,39909,1773,1
gout,39903,2115,1
classrooms,39882,197,1
pooling,39865,4311,2
fails,39852,7648,3
ballots,39810,1456,6
investigations,39797,1701,6
tactics,39784,2539,1
clinics,39758,4629,2
canning,39750,4017,3
inclusion,39680,1566,9
estates,39661,76921,4
theology,39659,1497,1
one night,39646,622,2
modest,39637,11600,5
blocked,39594,983,2
equator,39592,5155,1
tomorrow,39584,2256,4
secretaries,39567,1442,6
knowing,39538,1100,12
terrace,39484,2277,1
galleries,39475,861,2
come back,39459,399,7
brussels,39413,1418,1
dialect,39396,3640,1
congressmen,39382,542,15
labour party,39359,1667,1
unclean,39329,8773,1
proclaim,39320,85,2
harder,39306,2923,4
fulfill,39293,75,5
conceive,39278,694,6
hateful,39256,573,1
bosnia,39256,3770,1
rumors,39234,519,1
united states senate,39227,9206,17
touched,39221,1144,4
peaceful,39176,299,1
segregate,39175,231,2
shrink,39162,1731,1
rainbow,39158,2393,2
scales,39144,4298,2
yielded,39130,600,1
peaks,39104,11578,1
twelfth,39091,318,1
imports,39072,3221,1
absent,39069,470,4
sorrow,39056,2606,11
absorbed,39041,115,2
colvin,39036,4854,2
gloom,39035,7523,2
ferguson,39018,2502,1
convene,39007,2327,2
necessaries,38991,43,1
southampton,38943,1765,1
plantation,38942,2509,7
national academy,38940,522,2
perfection,38940,1235,3
laurels,38935,1570,1
unnecessary,38906,198,2
knock,38902,8476,2
negotiate,38886,95,1
one point,38872,84,3
th th,38861,101,1
elimination,38835,1362,11
dower,38831,33853,4
hotels,38826,10385,7
three months,38821,7,6
stimulated,38816,198,1
milo,38787,11488,1
total population,38757,2,2
unfortunately,38751,155,3
political parties,38737,1320,6
darkness,38727,3799,10
suggestion,38726,61,30
respected,38690,631,7
spanned,38678,1010,1
spanking,38669,1025,1
equally,38650,1918,5
rulers,38564,4712,1
reinspected,38554,14,1
privilege,38551,517,51
virtue,38541,1129,15
cottages,38535,1281,2
listening,38531,488,5
efficiency,38480,1857,30
flames,38475,2654,2
privileges,38460,516,37
privileged,38437,520,6
pallet,38432,2919,1
new hampshire,38417,3667,3
pistol,38374,5224,2
stability,38372,1189,3
ye gave,38346,113,1
tongue,38344,1326,2
martyr,38313,7351,1
two sons,38272,18,1
vague,38263,2919,1
intervals,38262,2146,1
skill,38261,6589,9
limitations,38249,309,4
apollo,38246,2317,1
proportion,38209,1637,32
proportions,38205,418,3
marble,38200,2088,1
launching,38184,837,6
reinstated,38169,1,1
sudden,38162,982,3
missionary,38161,1152,4
pleasure,38144,5683,43
undertime,38133,64,1
saloon,38118,2258,4
ascent,38041,5809,1
told us,38032,95,4
town hall,38023,947,1
sleigh,38021,2318,1
urge,38008,962,43
white house,37937,1013,18
harvest,37918,1533,5
spark,37918,52719,2
sums,37904,1701,1
innocent,37893,1378,1
encountered,37885,518,1
tragedy,37883,1468,5
meadow,37881,2669,1
clericals,37873,478,1
correspondence,37860,522,8
moreover,37859,2446,2
supervisors,37858,348,1
constantly,37794,2874,5
reconsideration,37794,66,3
suggesting,37785,61,1
wreath,37776,2058,6
portraits,37763,2260,1
petition,37753,4870,34
council p,37746,65,1
balls,37739,1248,1
sham,37682,7028,1
dump,37678,6887,1
pleasantly,37659,2113,1
transcript,37645,135,1
stretched,37626,503,3
celebrating,37621,658,2
committing,37604,46,2
petitions,37598,1356,3
copenhagen,37594,1141,3
twenty years,37585,74,7
located near,37585,0,1
quicken,37579,2266,1
wondered,37563,2433,6
circles,37557,4579,3
instincts,37536,321,1
hazards,37521,1138,2
monkeys,37521,2980,1
gentleman,37392,1334,11
dirty,37378,3596,4
oslo,37378,2222,4
abilities,37322,761,2
confessions,37304,1268,1
cream,37300,7450,2
horrified,37259,193,1
detract,37241,3800,1
bag,37234,9566,5
illiteracy,37192,308,4
assembling,37188,248,1
achieving,37174,118,2
annexed,37173,752,1
expectations,37168,228,1
accommodation,37161,148,1
creeds,37138,1673,1
accommodations,37137,144,1
minima,37110,834,2
reinstate,37109,32,1
complicated,37089,127,4
expectation,37073,245,1
inefficient,37063,699,2
horizon,37063,1682,1
deadly,37032,1048,1
embrace,37031,1590,2
allegations,37031,747,1
ladder,37001,2611,4
vermont,37000,7334,3
healthy,36994,13303,2
one another,36982,21,7
holders,36949,1720,1
shipyard,36945,1694,1
spectators,36927,152,1
roman catholic church,36926,634,1
static,36918,1291,1
calculations,36915,255,1
men women,36909,183,12
ancestry,36847,633,2
guitars,36840,2456,2
patriots,36832,2282,1
cottage,36812,2789,2
happens,36802,1080,9
plantations,36786,1437,4
smile,36775,2744,11
gentlemen,36774,1395,14
electors,36773,34013,4
appreciative,36731,108,1
analyze,36726,557,2
rosters,36725,3003,1
ethics,36709,3440,1
determinations,36706,255,1
determination,36690,540,21
knee,36678,1153,2
harmony,36660,3035,15
separately,36659,408,1
feminist,36650,2286,21
proud,36629,990,37
dont,36619,11976,22
stretch,36596,1275,3
warehouse,36551,2120,1
confronted,36547,21,6
doctrine,36539,1134,15
tortured,36523,610,1
miracle,36515,1798,4
humble,36483,2203,3
philanthropies,36482,246,1
legislator,36456,2710,1
fulfilled,36437,49,2
rhode island,36436,2973,17
listener,36401,268,1
physically,36389,1734,1
wheat,36378,10641,2
goodbye,36372,1705,1
denial,36367,4038,7
middle school,36346,4256,1
sentinel,36334,833,1
principally,36324,1761,1
accordance,36301,21,22
mandatory,36292,523,1
pregnant,36274,1165,1
federal government,36268,259,21
revealing,36229,604,1
gentle,36216,17395,2
endured,36214,1308,4
manila,36214,2110,1
correspondent,36200,542,3
isabella,36175,2465,2
ignoring,36170,263,1
calvary,36170,1908,1
enjoying,36134,557,2
marquis,36125,3202,1
dwellings,36124,410,2
donkey,36111,3370,3
esthonia,36086,3674,1
celebrants,36077,164,1
patriot,36051,1886,1
public service,36048,647,9
governed,36034,6686,7
defining,36030,645,1
wiped,36012,932,6
shakes,36010,5087,1
luxemburg,36001,3567,1
appoint,35983,372,14
urgency,35971,5847,3
boilers,35935,1021,1
dismissing,35929,10,2
yielding,35910,1083,1
thunder,35864,2339,1
lodging,35800,1061,1
chicago illinois,35794,216,1
lineage,35789,832,1
allotted,35786,150,1
evils,35768,5581,15
stimulate,35766,306,3
broaden,35762,790,1
melody,35760,1114,1
penalties,35721,55,3
burden,35718,1701,29
slaves,35713,2073,21
pressing,35711,3241,5
selective,35708,2884,1
interpret,35670,4218,4
clung,35661,4054,2
prominence,35638,1804,2
teddy,35634,3353,1
graz,35623,9542,2
former president,35603,28,3
captive,35561,3668,1
lassitude,35553,326,1
glossary,35542,1187,1
law school,35501,850,5
fabric,35468,1015,1
brilliant,35467,575,2
drag,35455,1781,2
prosecutor,35455,864,1
international union,35452,309,1
eggs,35430,683,2
revolt,35418,1680,4
lancashire,35408,1728,1
crusader,35373,1640,1
hanover,35321,2390,1
minneapolis,35313,1439,6
garage,35313,1138,1
excess,35305,3581,25
impress,35295,11698,2
first place,35276,24,9
uplifting,35262,306,3
resting,35249,2398,2
marbles,35209,1348,1
grasped,35193,606,2
candy,35190,7987,6
irishman,35131,925,2
international federation,35129,495,12
hardships,35110,91,5
infinite,35098,2350,1
courteous,35089,4766,1
warmly,35084,580,1
hartford,35083,2116,1
infinity,35070,2108,1
deciding,35065,376,2
chickens,35065,2460,3
enlarged,35057,141,1
cultivation,35041,123,4
discussions,35040,120,5
shepherd,35038,2884,1
pavilion,35025,2768,1
cultivate,35023,2550,2
messages,35002,1241,2
dishes,35000,1113,6
idaho,34989,4018,2
united states congress,34982,546,2
naturalize,34981,487,1
reorganizing,34979,175,1
many people,34972,11,2
remnant,34946,931,2
clergy,34882,3306,3
rochester,34876,5325,10
insignia,34859,1122,1
comeback,34857,342,1
leisure,34856,2979,2
beans,34825,7914,1
enforce,34795,680,75
remnants,34726,375,1
portals,34644,1072,2
corridor,34643,1671,1
discriminating,34635,772,1
politically,34622,7314,1
annual report,34620,40,3
solve,34613,917,16
christened,34604,2912,2
small town,34587,132,2
jacket,34583,5340,1
feminism,34579,1604,53
conveyed,34570,1418,2
endorsed,34564,90,20
mistress,34549,1578,7
distress,34538,1380,3
newport,34530,2592,5
obvious,34527,219,5
stealin,34515,730,1
necessarily,34512,185,1
dissolution,34500,215,3
contestants,34495,373,1
shepherds,34481,1860,1
agenda,34464,465,17
limbs,34447,1017,1
earns,34429,1829,2
glanced,34421,868,1
tonic,34421,2962,1
waged,34419,1195,3
disthress,34415,468,1
mustered,34406,859,1
auxiliary,34401,1047,1
following day,34375,1,1
charleston,34331,2784,6
palms,34329,4620,2
rio de janeiro,34310,970,4
hatred,34304,1141,1
surely,34285,665,7
dora,34280,3316,1
settings,34276,836,2
make way,34275,155,2
couldnt,34264,8167,7
palestine,34261,2699,9
time wore,34247,18,1
eldest son,34247,3,1
endorse,34246,638,9
quantity,34245,1599,5
professors,34245,3944,4
samson,34243,1983,1
negro,34242,3231,92
courage,34237,2860,37
disposal,34235,418,4
enforced,34222,914,10
papa,34207,2679,1
litigation,34177,481,1
swunk,34142,995,1
endangered,34138,445,2
weighing,34132,394,3
eighty years,34129,41,2
national university,34124,1167,1
eight years,34105,162,6
young man,34102,237,10
time rate,34097,24,1
cheap,34065,1410,2
clapped,34063,1499,1
tell us,34062,164,8
centennial,34049,1008,1
prefer,34048,1345,5
basements,34037,419,1
buenos aires,34032,1758,1
withdrawal,34029,352,3
soda,33998,2340,1
motive,33983,1856,2
proximity,33969,131,1
mosque,33959,5704,1
accepting,33952,31,2
grocer,33935,1895,4
torture,33933,2010,2
counsel,33920,39960,10
conspiracy,33916,1298,2
compromise,33884,226,10
later years,33883,8,5
answers,33854,2698,7
overtime,33854,521,14
armour,33848,1704,1
questioned,33833,1312,5
hurts,33811,1697,2
second place,33810,24,1
chicken,33794,2713,1
assumption,33777,776,10
confines,33752,415,1
conqueror,33750,732,1
epoch,33749,1409,1
penned,33747,1413,2
cairo,33743,1542,2
proposals,33739,409,9
isles,33737,6705,1
lancaster,33721,2397,2
west side,33718,310,2
reproduction,33706,3928,1
scotia,33701,4516,1
communicate,33700,293,3
machinery,33672,6186,12
cabin,33667,1232,7
pledges,33665,1020,6
remodeling,33664,747,1
bide,33644,2305,1
advancement,33642,320,49
biblical,33629,1314,1
endurance,33621,3629,2
murders,33616,6681,1
practically,33599,368,17
tipping,33591,1294,2
ecuador,33571,1393,2
endowed,33568,281,5
aunt,33563,4528,3
breathe,33560,1300,4
preference,33545,1855,10
shrub,33544,963,1
undermine,33508,405,1
backward,33504,1344,3
proceeded,33499,61,4
reasonable,33467,153,1
haunted,33448,2253,1
ashes,33447,1723,1
general assembly,33398,1032,16
remodeled,33388,22,1
morality,33384,1933,7
spires,33367,1389,1
arnett,33357,2416,1
latvia,33354,2899,1
submission,33337,685,3
supervise,33326,583,1
buyers,33318,1389,1
farewell,33318,1993,2
comparable,33288,262,2
istanbul,33279,1691,2
sent us,33270,20,1
wonderful,33258,836,6
attorney general,33253,1030,6
consecrated,33239,51,4
syndicates,33184,589,1
collision,33183,3200,1
nursing,33179,4734,3
detect,33177,844,1
national assembly,33130,1399,1
excited,33071,838,2
siberia,33065,2605,1
miners,33061,3382,1
cab,33060,2193,1
sentiments,33042,665,7
habit,33041,1166,8
strains,33019,1859,1
military service,32980,253,2
grains,32950,2121,1
statesman,32930,430,2
extract,32913,654,6
pistols,32909,2076,1
hear us,32888,243,1
anonymous,32879,527,1
legally,32879,520,2
apos,32850,1776,1
admired,32825,3534,4
congressman,32777,508,3
announcing,32772,14,1
humanity,32747,1084,34
slug,32731,1511,1
purely,32724,696,1
breathed,32720,2752,1
seventeen,32705,426,4
admirers,32685,361,1
willard,32674,2672,1
executors,32656,316,2
surmised,32636,83,2
elevators,32630,681,2
armies,32629,4006,1
sorrows,32618,1635,7
ingenuity,32600,278,1
inspections,32576,840,1
furniture,32554,573,4
qualities,32534,736,9
ordering,32524,605,1
abandon,32497,724,3
canners,32471,1259,3
isolation,32441,1669,3
ethiopia,32432,2590,2
complain,32424,821,1
genius,32409,4163,17
take part,32392,25,16
capabilities,32390,60,3
copyright,32313,992,1
flashes,32298,1640,1
ascension,32284,1163,1
slavery,32280,1549,41
family moved,32279,2,3
emblems,32257,965,1
raphael,32237,1720,1
hardness,32198,3894,1
exhalation,32196,302,1
memphis,32188,1677,4
applying,32186,67,7
deepen,32168,371,1
everybodys,32148,955,1
racism,32118,1184,1
affections,32096,496,2
limestone,32092,1287,1
sanctuary,32087,2129,2
responsibilities,32082,53,26
postpone,32079,412,3
st petersburg,32075,954,2
liable,32056,978,8
differential,32034,975,1
textile,32033,1518,2
groove,32029,6910,1
mosques,32002,5269,1
discriminations,31987,768,127
disposed,31984,452,4
fraud,31955,1832,3
investigators,31941,622,2
anywhere,31911,834,2
en route,31904,25,1
contrary,31899,2353,29
peasants,31891,3160,1
logic,31883,2236,2
bankers,31870,2242,4
first woman,31864,182,71
midst,31840,535,20
charitable,31836,336,1
simmons,31835,3654,2
american women,31828,127,60
inspection,31793,2364,14
imprisonment,31788,143,5
appointing,31781,123,3
burdened,31764,862,1
countryside,31756,212,2
flags,31738,8589,3
respecter,31729,481,2
macon,31727,2492,1
vegetables,31718,470,4
cheer,31715,790,10
also received,31707,0,1
springfield,31689,1756,3
deputies,31672,1063,11
investigator,31664,1519,3
law enforcement,31646,981,5
masses,31641,1315,17
sneers,31619,2336,1
accomplishments,31571,54,6
accomplishment,31569,54,6
feminists,31567,1282,60
rented,31563,28132,4
leipzig,31563,726,1
theyre,31523,2903,1
long way,31515,314,5
charm,31511,4181,10
afford,31490,1082,9
providence,31487,15171,8
dares,31462,2272,1
helena,31462,10104,1
porch,31455,1389,1
czechoslovakia,31426,1467,5
practitioner,31422,278,3
roosevelt,31422,1479,2
horns,31386,3667,1
prohibition,31370,434,32
apprentices,31368,547,4
glad,31351,1647,67
finest,31347,5736,3
prohibiting,31332,431,3
marathon,31330,3434,1
verses,31319,2073,3
maman,31292,1884,1
electorate,31283,9742,4
hugs,31280,9179,1
securing,31267,9522,45
deny,31257,2945,13
confederacy,31209,1398,1
lesson,31177,1020,9
advocacy,31174,1093,1
breast,31173,2893,7
portray,31167,404,1
mamma,31157,2275,1
booth,31157,4489,4
jewels,31153,1442,3
public health,31132,983,4
warrant,31121,1107,4
destroying,31111,40,1
national councils,31100,1039,1
sphere,31099,813,8
virus,31098,3944,1
proprietor,31088,214,3
grouped,31067,821,2
actuated,31060,343,1
varieties,31038,858,1
naples,31033,2265,1
socialist party,31004,1493,5
diagnosis,30999,693,1
exalted,30999,317,2
national council,30978,1038,195
breakdown,30962,664,2
conception,30954,7819,7
spheres,30945,1126,1
dail,30935,5035,1
intelligently,30906,525,1
foremost,30905,11862,6
taking place,30894,6,1
teeth,30893,1764,6
watchmen,30890,777,1
skins,30887,4893,2
confine,30884,868,2
wisdom,30877,667,22
general manager,30823,121,1
incompatible,30800,231,2
comfort,30798,1664,17
comfortable,30794,69,1
thank,30789,10098,23
faithfully,30752,363,3
threatening,30752,41,1
devoting,30740,1367,1
first light,30730,199,1
city state,30700,126,1
sunshine,30696,1410,7
unmarried,30656,657,12
determining,30637,196,6
depositor,30623,1135,1
gambler,30620,1882,1
admire,30610,277,1
buddy,30601,2397,1
us today,30596,26,1
peking,30587,1091,4
discrimination,30576,796,68
american history,30563,323,3
camille,30561,2144,1
freely,30533,397,3
pushing,30516,2545,3
collusion,30502,2825,1
digest,30487,963,2
jurors,30478,2513,20
women writers,30473,176,1
walters,30464,13533,1
bags,30460,1860,1
sunshiners,30458,1263,1
wading,30438,954,1
shopper,30406,1307,1
unexpected,30401,278,1
vacations,30389,2217,1
comforts,30384,1771,2
approaching,30361,28,1
sling,30360,2674,2
smite,30333,28474,1
garnet,30326,1806,1
faithful,30324,437,5
pilasters,30307,691,1
boulder,30297,1316,2
propriety,30294,213,1
pathway,30285,3441,3
terrible,30283,730,2
ruby,30281,23243,4
executive director,30270,25,1
political science,30269,270,2
hunton,30263,2696,1
prevalent,30258,165,2
symptoms,30240,288,1
pants,30232,3049,1
economically,30226,82,3
malitia,30224,1478,1
rooming,30199,2679,1
honest,30191,4009,9
airplane,30182,3010,3
intelligent,30166,3865,9
scanned,30165,1251,1
stressed,30153,1729,6
mastered,30131,381,1
santa fe,30124,2159,1
view b,30120,148,1
irene,30074,1879,1
dawning,30068,3021,1
part time,30059,75,1
shadows,30055,5365,2
likewise,30048,79,9
pioneering,30047,28,1
spokesmen,30045,81,1
every way,30038,241,10
uruguay,30032,2908,11
juveniles,30031,778,1
happiest,30007,898,1
monograph,30001,323,1
hearers,29986,1617,6
archaeologist,29979,375,1
indorsed,29957,575,1
crack,29953,8227,2
searched,29933,2937,1
bolivia,29925,4080,2
revelation,29914,7132,3
laying,29910,2815,4
spirits,29905,4086,2
bom,29867,12442,3
custody,29855,2092,22
destiny,29798,1458,5
wayward,29776,1736,1
somewhere,29775,443,1
powder,29764,22265,1
engrafted,29761,68,1
tellers,29759,1295,1
recipe,29755,2476,1
madness,29753,1404,1
enclose,29752,2320,2
prohibitions,29740,435,2
recounted,29730,72,2
one hundred,29722,402,8
presbyteries,29712,2323,3
presidencies,29702,314,1
henley,29689,1884,1
throwing,29689,3374,1
galaxy,29674,2850,1
basket,29666,3127,4
civil rights,29661,579,13
searches,29653,947,1
propaganda,29648,592,11
awakened,29635,187,3
integrity,29622,1546,8
requests,29605,576,1
wyoming,29597,5701,8
incidental,29583,4800,1
risen,29566,761,6
deputize,29564,488,1
american journal,29564,707,1
sheaf,29530,2549,1
clouds,29524,6741,1
nobody,29520,1112,7
duchesse,29512,3108,1
miss l,29505,404,1
west africa,29493,718,1
aristocrats,29488,184,1
stamp,29477,4620,2
circus,29472,2377,1
sadness,29471,1388,2
lexington,29452,2151,1
duchess,29407,3090,3
engaging,29397,203,1
back us,29393,21,1
manifest,29387,776,2
motives,29363,454,3
last time,29341,147,3
overeat,29332,1915,1
dependence,29331,4583,3
cried,29321,5719,10
blocking,29320,897,2
dynamo,29294,2195,2
sponsorship,29289,86,1
shifting,29288,6467,1
syracuse,29275,1616,7
staunton,29271,1771,2
archaeologists,29267,356,1
exceptional,29232,320,2
homestead,29192,1600,1
luther,29180,1719,1
humphrey,29173,1970,1
arguing,29168,468,1
pillar,29152,2603,3
obligation,29137,233,8
daytona,29128,1603,3
discussing,29122,146,12
obligations,29117,177,8
referendum,29109,4598,7
jockeys,29098,2055,1
would put,29078,28,4
dominions,29039,2058,3
footing,29037,2789,3
almanac,29036,404,2
deprive,29021,586,3
observing,29019,297,1
seemingly,29010,10,1
prohibited,28996,85,19
laugh,28996,1395,6
realizing,28995,85,5
landlord,28994,1146,2
louisville,28989,1783,5
burma,28974,2359,2
majesty,28966,1247,1
résumé,28959,80,1
sticks,28921,2510,1
belgrade,28916,1727,1
advantageous,28902,36,1
vindication,28898,226,4
uphold,28872,670,5
advertisers,28867,489,1
recite,28866,623,1
investing,28862,451,1
hostile,28850,1478,2
well bring,28846,56,1
griefs,28830,2150,1
thankful,28805,95,4
corners,28804,4668,1
desertion,28796,1965,1
textbook,28783,227,3
chemists,28781,3082,1
indication,28749,2025,4
premium,28742,8878,1
made available,28737,2,1
rehabilitation,28730,641,1
regretted,28727,28,3
theft,28724,1922,1
publicity,28723,217,21
right hand,28716,158,3
two men,28712,143,2
lumber,28708,17459,1
shortened,28702,51,1
retailers,28690,407,1
poison,28667,6762,2
listened,28662,4565,12
harriet,28649,5100,3
parole,28644,930,2
annoyed,28642,133,1
evident,28614,2018,12
scandinavia,28604,940,3
sorry,28599,7624,23
tiber,28590,6472,1
geometry,28567,1929,1
sways,28567,2801,1
reorganized,28563,579,3
p council,28561,30,1
first day,28544,127,6
subscribe,28539,170,5
matrix,28537,2446,3
casket,28522,1853,6
two names,28520,10,1
invests,28505,1175,1
testimony,28497,165,10
complexity,28459,465,1
skillet,28456,416,1
outset,28421,474,1
shakespeare,28417,1089,2
choosing,28416,2212,2
international association,28411,725,2
strain,28403,9089,9
best friend,28396,286,1
humor,28388,2062,8
sociology,28384,880,2
toilets,28381,898,1
scarlet,28376,1778,1
toledo,28356,2203,4
jobbers,28355,1045,1
indications,28341,368,3
attachment,28335,575,1
went back,28334,48,3
surprising,28325,1799,8
south side,28314,184,1
plea,28310,993,17
lether,28309,5702,1
donor,28283,5560,1
individuality,28274,88,2
confer,28271,5039,10
draped,28269,813,3
bracke,28267,2729,1
arguments,28266,900,22
console,28263,893,1
skeleton,28255,1658,1
elsie,28249,2504,1
royal academy,28228,381,1
conservatory,28224,2971,1
reinspection,28218,408,2
blesses,28216,1598,1
renting,28210,747,1
blessed,28177,1664,6
police officer,28152,580,1
sentiment,28147,736,10
shoes,28142,4254,8
lily,28132,3029,2
livingston,28132,1821,1
escort,28095,1134,2
hops,28088,5210,1
acquitting,28071,11,1
stigma,28055,1642,1
functioning,28049,59,1
sheets,28044,1367,1
excursion,28025,795,1
retaliation,28014,277,1
drafting,27964,281,3
cuban,27953,4261,1
eager,27951,2015,10
factories,27948,751,45
year round,27939,27,2
complainants,27936,93,1
first president,27930,77,5
women p,27921,303,1
apprentice,27876,781,2
crimson,27870,3851,1
violate,27867,10231,1
schemes,27852,1679,2
fault,27840,5093,6
symposium,27813,405,1
consciousness,27810,437,4
keyword,27794,1359,1
district court,27788,836,3
imitation,27770,1973,5
desiring,27765,466,6
baskets,27765,2410,2
surround,27758,157,1
afforded,27745,61,5
everybody,27734,955,11
africans,27731,14558,3
senses,27716,1414,1
leech,27686,1869,1
morbidity,27631,499,1
subscribers,27629,148,1
goddess,27607,1366,1
suppressed,27586,208,1
second year,27568,62,1
women q,27562,299,1
basing,27561,871,1
patronage,27554,342,1
marines,27553,7595,1
breakfast,27536,638,9
confident,27519,944,4
assemblies,27518,516,2
accuracy,27517,195,1
costa rica,27515,1988,4
happening,27512,279,8
wilderness,27512,1702,1
plato,27499,3592,1
patronize,27497,106,1
gifts,27439,1328,16
coronation,27432,11339,1
fruits,27429,4407,9
first person,27411,130,1
satisfied,27403,81,16
school year,27393,24,3
cape town,27379,516,1
honoring,27356,610,1
forbidden,27354,542,9
beverage,27329,1970,1
many others,27304,6,6
proving,27289,1805,3
napoleon,27273,1673,1
long island,27271,1033,2
young people,27266,90,14
national union,27263,1586,22
continuation,27260,103,8
appliances,27252,395,1
happiness,27247,853,35
borrowed,27242,939,2
belfast,27237,1552,1
reorganisation,27232,2178,1
statewide,27222,209,1
wagons,27205,4659,1
campaigned,27204,5737,1
conventions,27197,6236,19
illusion,27191,1252,1
flyers,27150,1546,1
betrayal,27144,415,1
trod,27135,1131,1
bohemia,27101,1459,2
maiming,27078,940,1
emulate,27066,719,1
spreading,27061,3853,1
orient,27036,1719,6
san juan,27033,1620,1
mercer,27032,2710,1
descended,27030,132,2
mcgraw,27023,1402,1
reorganization,27014,4312,4
enthusiasm,26980,161,18
ceremonial,26951,346,1
violates,26948,1946,1
lofts,26945,2518,1
altar,26939,1901,3
endeavors,26938,274,1
endeavor,26938,272,28
appreciate,26923,21,14
appreciated,26922,17,2
depart,26906,243,1
measles,26901,2237,1
nervous,26899,1420,1
asset,26896,1489,3
cologne,26864,2193,1
yodlers,26858,1467,1
smiles,26856,4108,3
agnes,26839,2714,1
dairies,26833,1461,3
assuming,26830,50,3
coins,26817,3596,1
exposition,26797,4621,8
denying,26778,2739,1
allowances,26755,239,1
arise,26754,725,7
carefully,26749,133,6
assert,26749,11625,5
prophets,26745,1431,1
suspicion,26728,211,5
weeks later,26725,18,1
vaud,26720,2866,1
previous year,26697,4,2
hitler,26683,1217,4
rendering,26628,744,1
went ye,26624,402,1
bankruptcy,26619,332,2
alcoholism,26611,340,1
dispatch,26584,491,1
caring,26578,1724,4
canvass,26572,584,1
rooters,26554,1470,1
breadth,26535,3181,5
feminine,26529,2233,2
smash,26515,1688,1
disturbed,26515,233,4
jealous,26503,407,1
voter,26500,1682,1
iniquity,26491,825,1
daytime,26490,916,5
romans,26489,2094,1
one side,26480,63,4
forestry,26450,13110,1
messengers,26447,910,3
medical centre,26430,1772,1
make one,26413,19,1
counselor,26405,717,2
dorsey,26398,1559,1
effectiveness,26381,113,3
weekly rate,26380,2,1
skirts,26364,5062,2
mks,26329,2208,1
urgent,26308,3115,1
depreciation,26303,145,1
four children,26297,10,2
pillow,26287,2727,5
checks,26263,1530,2
slender,26262,1675,1
thirty years,26252,96,9
veto,26235,1769,2
canvas,26224,639,2
maternity,26208,1069,7
congressional district,26208,3908,1
auditorium,26208,706,10
hopeless,26194,592,3
thro,26183,6182,1
substantially,26172,43,1
apologized,26170,94,1
courthouse,26169,4687,3
caste,26163,14722,3
steamer,26160,1034,2
hasnt,26155,485,2
blessings,26142,544,4
darling,26133,1799,2
occupy,26131,535,4
every day,26109,208,4
aspiration,26108,437,1
newcomers,26091,239,1
lisp,26073,3796,1
bathed,26068,3411,1
lamb,26067,3163,1
persecutions,26065,734,1
middletown,26033,1534,1
afraid,26032,2262,27
imagination,26009,392,6
burdens,26005,1326,8
instant,26000,2744,3
jubilee,25985,920,1
renewal,25983,30891,1
preachers,25959,1820,2
asserted,25933,601,3
ivory,25917,2477,1
horace,25894,1873,1
orbit,25884,961,1
chateau,25859,4686,1
quotation,25857,1862,1
appreciation,25824,143,34
robbins,25819,1539,1
bedroom,25796,423,1
amended,25791,538,38
queen elizabeth,25761,589,1
cornell university,25759,106,1
tobacco,25743,2689,3
correction,25731,9511,1
encouraging,25727,11,3
blessing,25702,1394,7
jelly,25683,7456,2
pottstown,25676,155,2
refusing,25665,693,6
way home,25660,283,2
close friend,25659,17,2
persistence,25654,323,1
second wife,25640,75,1
bleaching,25632,1505,1
hundred years,25610,141,2
nightmare,25607,1590,1
boasting,25593,1224,1
three weeks,25591,22,2
sensation,25583,429,1
resurrection,25580,895,4
abuses,25573,2923,2
nordics,25567,1893,1
sheltered,25556,899,1
speeches,25555,5253,5
short time,25540,21,9
old man,25531,427,2
dispensed,25502,228,1
trinidad,25501,2070,3
new building,25467,52,3
interference,25465,363,1
violets,25459,2466,2
dependency,25455,1044,1
goose,25453,3260,1
weakening,25445,609,1
total number,25420,16,11
based upon,25404,0,15
dodge,25403,5062,3
tendency,25380,222,17
bonnet,25367,2578,1
wreck,25358,2956,2
blotted,25340,536,1
secretariat,25330,1316,5
yankees,25323,1395,1
antiques,25314,1252,1
migrant,25303,964,1
possess,25293,406,3
booker,25291,2457,8
ivy,25282,2378,1
dismissals,25281,121,7
robbed,25281,692,3
radium,25279,1076,4
aspired,25273,574,1
bewitching,25262,391,1
meditations,25257,907,1
psychologist,25237,551,1
candles,25225,1171,1
resist,25218,537,3
intimate,25203,2576,1
shortage,25203,2855,1
altogether,25197,1440,1
secretary general,25187,257,2
nacw,25142,681,2
worcester,25141,2523,3
four days,25141,44,1
also stated,25134,0,1
national congress,25124,598,2
remind,25115,2364,3
brush,25108,8855,4
begged,25104,1222,2
obstacle,25077,91,1
likeness,25061,295,1
obstacles,25060,83,5
subjected,25052,721,21
art museum,25051,738,1
tuscania,25049,2815,1
donkeys,25042,1289,1
crusade,25039,1661,5
crabs,25037,2485,1
adjusted,25012,177,5
regards,24988,12185,7
would continue,24984,0,1
savannah,24977,1464,2
knife,24974,2762,1
signify,24970,395,1
daddy,24967,2458,1
shoe,24966,5974,1
blot,24964,2410,1
next generation,24953,690,1
spinner,24948,1617,1
jealousy,24931,259,2
