concept,number_of_alexander_street_docs_appeared_in
tea,51
working women,51
wives,51
colored people,50
mrs,50
college,50
hard,50
truth,50
positions,50
director,50
april,50
engaged,50
saw,50
questions,50
returned,50
type,50
fear,50
pointed,50
included,50
system,49
son,49
founder,49
declared,49
full,49
asking,49
matters,49
advancement,49
raised,49
principles,49
existence,49
sit,49
results,49
employers,49
national,48
individual,48
faith,48
whole,48
leader,48
families,48
copy,48
teaching,48
author,48
ballot,48
evening,48
governments,48
town,48
equal pay,48
maryland branch,48
women voters,47
obtain,47
later,47
opening,47
provided,47
stay,47
parts,47
date,47
difference,47
investigation,47
alva belmont house,47
inter american commission,47
great deal,46
white,46
spent,46
changed,46
september,46
appear,46
accomplished,46
turned,46
motion,46
advance,46
wants,46
consumers league,46
subjection,46
codification,46
many years,45
without,45
franchise,45
ohio,45
degree,45
provide,45
securing,45
join,45
leadership,45
relation,45
contract,45
proposed,45
makes,45
factories,45
hague,45
th,44
company,44
reports,44
represent,44
probably,44
task,44
minds,44
note,44
unable,44
belief,44
absence,44
minister,44
ought,44
woman suffrage,44
american federation,44
national consumers league,44
proposal,44
though,43
institute,43
north,43
happy,43
begin,43
cities,43
jurisdiction,43
friend,43
boston,43
filled,43
pleasure,43
lead,43
hoped,43
employer,43
urge,43
claim,43
india,43
protective legislation,43
resolutions,42
art,42
raise,42
comes,42
bringing,42
reach,42
soul,42
color,42
salary,42
jury,42
denied,42
choose,42
ministry,42
remember,42
speech,42
summer,41
books,41
amount,41
writing,41
due,41
slavery,41
teach,41
recognize,41
application,41
wisconsin,41
code,41
government service,41
deputation,41
public schools,40
three,40
clubs,40
club,40
however,40
following,40
issued,40
taught,40
laid,40
general,40
injustice,40
agree,40
occupation,40
alice paul,40
havana,40
news,39
recently,39
refused,39
month,39
helped,39
determined,39
everything,39
approval,39
applied,39
expressed,39
capacity,39
prove,39
really,39
express,39
merely,39
bar,39
industries,39
protected,39
feminist movement,39
professional women,39
executive committee,38
young,38
away,38
became,38
audience,38
looked,38
lines,38
boy,38
introduction,38
editor,38
affairs,38
youth,38
races,38
voted,38
memory,38
certainly,38
danger,38
happened,38
discuss,38
susan b anthony,38
great britain,38
amended,38
juries,38
equal rights treaty,38
privileges,37
almost,37
groups,37
music,37
died,37
entered,37
active,37
civilization,37
proud,37
courage,37
wonder,37
feeling,37
believed,37
save,37
break,37
lose,37
argument,37
drawn,37
forms,37
possibility,37
recommendation,37
trade,37
unemployment,37
theory,37
although,36
holding,36
contribute,36
welcome,36
survey,36
daughters,36
prepared,36
offer,36
continued,36
choice,36
proved,36
institution,36
worth,36
standard,36
carrying,36
restrictions,36
removed,36
consent,36
custom,36
new jersey,35
air,35
illinois,35
chosen,35
play,35
discussed,35
stood,35
organize,35
judge,35
gift,35
minutes,35
admission,35
measures,35
failure,35
gratitude,35
hearts,35
happiness,35
marry,35
within,35
either,35
remain,35
bear,35
run,35
factory,35
international advisory council,35
standards,34
emancipation,34
fair,34
decide,34
branch,34
guests,34
moved,34
wrote,34
conduct,34
auspices,34
fall,34
appreciation,34
humanity,34
petition,34
according,34
method,34
deal,34
turn,34
preparation,34
reference,34
feet,34
determine,34
oclock,34
removal,34
delaware,34
demands,34
votes,34
would like,34
obtained,34
womens bureau,34
annual meeting,33
new,33
clear,33
guest,33
letters,33
keeping,33
management,33
reasons,33
floor,33
lot,33
commerce,33
responsible,33
failed,33
likely,33
referred,33
income,33
women teachers,33
dismissal,33
nationality laws,33
beauty,32
limited,32
texas,32
table,32
offered,32
activity,32
evidence,32
built,32
suggested,32
heads,32
directors,32
agreed,32
statute,32
prejudice,32
seem,32
proportion,32
dismissed,32
equal opportunity,32
prohibition,32
repeal,32
negro women,31
large number,31
four,31
center,31
beautiful,31
reading,31
works,31
individuals,31
created,31
expect,31
seek,31
grounds,31
conclusion,31
knows,31
crime,31
earth,31
speaking,31
